District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
000442,Manchester Local,Adams,Region 14,3  Stars,74.0,80.8,109.3,0.3,20.2,21.7,29.3,17.5,10.8,0.2,82.1,77.4,40,"   $10,248"
043489,Akron City,Summit,Region 8,2  Stars,58.0,63.4,109.3,0.9,43.0,20.2,18.5,10.4,6.9,0.0,61.2,58.7,1008,"   $12,626"
043497,Alliance City,Stark,Region 9,2  Stars,66.5,72.6,109.3,1.2,31.3,20.1,22.6,12.9,10.6,1.3,72.8,72.6,138,"    $9,656"
043505,Ashland City,Ashland,Region 7,4  Stars,84.3,92.1,109.3,0.2,13.8,13.9,25.3,20.6,24.0,2.1,92.7,92.0,135,"    $9,780"
043513,Ashtabula Area City,Ashtabula,Region 5,2  Stars,58.2,63.6,109.3,1.1,41.3,21.6,19.6,10.4,5.4,0.6,66.3,64.2,121.4,"    $9,615"
043521,Athens City School District,Athens,Region 16,3  Stars,78.9,86.2,109.3,1.6,19.8,14.2,20.6,19.0,20.6,4.3,86.6,81.9,106.5,"   $11,836"
043539,Barberton City,Summit,Region 8,2  Stars,69.0,75.3,109.3,1.4,28.3,19.1,22.5,16.2,12.0,0.5,78.1,77.1,160,"   $11,497"
043547,Bay Village City,Cuyahoga,Region 3,5  Stars,97.1,106.1,109.3,0.1,3.1,6.8,21.4,28.5,37.7,2.4,106.6,104.9,125,"   $14,435"
043554,Beachwood City,Cuyahoga,Region 3,5  Stars,96.1,105.0,109.3,0.1,6.4,8.4,16.4,18.8,38.5,11.3,106.3,104.7,98.9,"   $19,862"
043562,Bedford City,Cuyahoga,Region 3,2  Stars,58.1,63.5,109.3,3.2,38.6,21.8,20.0,9.9,5.2,1.3,63.5,62.7,155.8,"   $15,294"
