"Rank
median
AGI",School district,County,"Median
AGI","Tax
returns","Average
AGI","Rank
ave.
AGI"
1,Orange,Cuyahoga,"$101,941","7,018","$293,562",2
2,Indian Hill,Hamilton,"$98,257","6,423","$393,918",1
3,Hudson,Summit,"$89,079","11,950","$170,249",6
4,Ottawa Hills,Lucas,"$88,186","2,269","$186,007",5
5,Olentangy,Delaware,"$87,243","42,553","$129,664",18
6,Wyoming,Hamilton,"$85,408","3,865","$151,172",11
7,New Albany- Plain,Franklin,"$85,159","9,686","$215,316",3
8,Chagrin Falls,Cuyahoga,"$84,884","5,173","$197,282",4
9,Upper Arlington,Franklin,"$84,791","18,022","$164,049",8
10,Granville,Licking,"$82,926","5,629","$127,379",19
11,Oakwood,Montgomery,"$80,981","4,441","$154,334",10
12,Maderia,Hamilton,"$78,285","4,311","$124,039",22
13,Bexley,Franklin,"$77,969","5,857","$156,014",9
14,Revere,Summit,"$77,699","10,183","$168,629",7
15,Springboro Community Sd,Warren,"$76,611","15,849","$107,810",33
16,Beachwood,Cuyahoga,"$75,113","6,246","$142,958",13
17,Bay Village,Cuyahoga,"$72,971","7,897","$130,139",17
18,Kenston,Geauga,"$71,328","9,357","$139,697",14
19,Mason,Warren,"$70,284","25,055","$115,924",25
20,Avon,Lorain,"$70,227","11,157","$107,781",34
21,Sycamore,Hamilton,"$69,759","17,597","$134,817",16
22,Mariemont,Hamilton,"$68,700","4,046","$146,065",12
23,Solon,Cuyahoga,"$67,973","11,856","$124,919",21
24,Aurora,Portage,"$67,334","8,880","$111,183",30
25,Highland,Medina,"$66,506","9,883","$114,022",27
26,Sugarcreek,Greene,"$65,494","7,730","$110,140",31
27,Forest Hills,Hamilton,"$65,354","22,453","$119,337",23
28,Anthony Wayne,Lucas,"$64,344","15,100","$95,124",42
29,Avon Lake,Lorain,"$64,145","12,357","$104,303",37
30,Beavercreek,Greene,"$64,073","26,959","$87,605",51
31,Perrysburg,Wood,"$63,867","15,248","$94,251",44
32,Loveland,Hamilton,"$63,805","13,384","$113,907",28
33,Lakota,Butler,"$63,089","48,200","$94,455",43
34,Big Walnut,Delaware,"$62,617","10,004","$97,862",40
35,Dublin,Franklin,"$62,614","43,773","$112,136",29
36,Little Miami,Warren,"$61,569","16,277","$80,087",66
37,Grandview Heights,Franklin,"$61,297","4,845","$103,024",38
38,Centerville,Montgomery,"$61,101","31,062","$98,573",39
39,Kirtland,Lake,"$59,997","3,897","$126,887",20
40,Buckeye Valley,Delaware,"$59,864","8,181","$83,692",56
41,Brecksville- Broadview Heights,Cuyahoga,"$59,564","14,359","$108,226",32
42,West Geauga,Geauga,"$59,435","8,668","$106,455",36
43,Westlake,Cuyahoga,"$58,889","17,714","$114,086",26
44,Rocky River,Cuyahoga,"$58,656","11,593","$116,993",24
46,Independence,Cuyahoga,"$58,424","4,069","$90,980",47
47,Bloom- Carroll,Fairfield,"$58,215","5,489","$74,248",82
48,Kings,Warren,"$57,859","13,744","$89,991",48
49,Worthington,Franklin,"$57,429","32,313","$85,208",53
50,Hilliard,Franklin,"$57,348","44,193","$82,290",60
51,Bethel,Miami,"$57,106","3,882","$73,672",86
52,Strongsville,Cuyahoga,"$56,403","24,115","$81,288",64
53,Gahanna Jefferson,Franklin,"$56,184","24,798","$89,077",49
54,Fairbanks,Union,"$56,036","3,271","$74,027",84
55,Van Buren,Hancock,"$55,844","3,438","$78,517",69
56,Copley- Fairlawn,Summit,"$55,713","11,513","$84,667",55
57,Canfield,Mahoning,"$55,587","10,145","$96,178",41
58,Twinsburg,Summit,"$55,348","13,474","$76,922",72
59,Three Rivers,Hamilton,"$54,592","7,778","$83,070",58
60,Minster,Auglaize,"$54,532","2,196","$82,366",59
61,Shaker Heights,Cuyahoga,"$54,484","14,650","$138,774",15
62,Pickerington,Fairfield,"$54,146","24,521","$75,961",75
63,Sylvania,Lucas,"$54,118","26,735","$91,741",46
64,Kalida,Putnam,"$53,516","1,705","$84,901",54
65,Nordonia Hills,Summit,"$53,413","17,649","$71,388",91
66,Southwest Licking,Licking,"$53,151","12,333","$67,079",116
67,Marysville,Union,"$53,087","14,771","$66,614",119
68,Milford,Clermont,"$53,073","20,806","$79,355",67
69,Medina,Medina,"$53,024","22,654","$79,175",68
70,North Ridgeville,Lorain,"$52,524","17,084","$64,541",129
71,Riverside,Lake,"$51,897","18,900","$75,193",78
72,Buckeye,Medina,"$51,757","7,820","$69,236",105
73,Ross,Butler,"$51,338","7,526","$69,967",101
74,Chardon,Geauga,"$51,336","10,608","$81,969",61
75,Poland,Mahoning,"$51,219","7,831","$83,207",57
76,Jackson,Stark,"$51,128","20,517","$93,765",45
77,Monroe,Butler,"$51,000","6,854","$61,651",153
78,North Royalton,Cuyahoga,"$50,934","19,834","$74,712",80
79,Green,Summit,"$50,875","13,057","$76,933",71
80,Mayfield,Cuyahoga,"$50,585","17,859","$107,411",35
81,Liberty Benton,Hancock,"$50,414","3,264","$81,720",62
82,Northridge,Licking,"$50,371","4,297","$66,872",118
83,Westerville,Franklin,"$50,215","47,433","$75,513",77
84,Wayne,Warren,"$50,185","4,242","$76,044",74
85,Miami East,Miami,"$50,089","3,923","$68,946",106
86,Olmsted Falls,Cuyahoga,"$49,914","12,362","$69,693",102
87,Ottoville,Putnam,"$49,857","1,366","$67,264",113
88,Jennings,Putnam,"$49,684",956,"$63,937",134
89,Bluffton,Allen,"$49,594","2,920","$62,617",145
90,Johnstown Monroe,Licking,"$49,569","4,949","$67,951",109
91,Stow Munroe Falls,Summit,"$49,568","20,540","$68,077",108
92,Canal Winchester,Franklin,"$49,492","9,100","$65,640",121
93,Tipp City,Miami,"$49,413","7,465","$75,781",76
94,Jonathan Alder,Madison,"$49,403","5,404","$74,114",83
95,Yellow Springs,Greene,"$49,338","2,258","$86,933",52
96,Licking Heights,Licking,"$49,216","12,031","$60,188",167
97,St. Henry- Consolidated,Mercer,"$49,035","2,330","$69,971",100
98,Lebanon,Warren,"$48,783","17,151","$72,366",87
99,Anna,Shelby,"$48,712","2,714","$61,866",152
100,Clinton Massie,Clinton,"$48,563","4,827","$65,289",126
101,Shawnee,Allen,"$48,515","8,327","$81,013",65
102,Mentor,Lake,"$48,512","32,652","$67,170",114
103,Fort Loramie,Shelby,"$48,479","2,021","$68,653",107
104,New Bremen,Auglaize,"$48,432","2,311","$88,844",50
105,Otsego,Wood,"$48,380","4,670","$65,601",123
106,Marion,Mercer,"$48,308","1,877","$64,029",133
107,Lake,Stark,"$48,083","9,828","$70,027",99
108,Fairview Park,Cuyahoga,"$48,074","9,038","$65,401",125
109,Kelleys Island,Erie,"$47,893",141,"$70,612",95
110,Centerburg,Knox,"$47,822","2,984","$59,711",176
111,Newbury,Geauga,"$47,719","2,711","$71,651",90
112,Teays Valley,Pickaway,"$47,627","9,403","$61,111",158
113,Miller City- New Cleveland,Putnam,"$47,600","1,020","$53,998",288
114,Oak Hills,Hamilton,"$47,550","33,308","$70,144",98
115,St. Clairsville- Richland,Belmont,"$47,207","6,596","$77,701",70
116,North Canton,Stark,"$47,196","15,433","$70,840",92
117,Newton,Miami,"$47,090","1,560","$58,264",198
118,Wadsworth,Medina,"$47,078","13,743","$66,439",120
119,Perry,Lake,"$47,047","4,396","$62,627",144
120,Cuyahoga Heights,Cuyahoga,"$46,986","2,616","$69,578",103
121,Woodmore,Sandusky,"$46,948","3,359","$58,672",191
122,Brunswick,Medina,"$46,917","24,721","$61,553",154
123,Valley View,Montgomery,"$46,712","5,049","$59,005",188
